,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
42,The Hearse,18618476,"The Hearse is a 1980 American supernatural horror film directed by George Bowers and starring Trish Van Devere and Joseph Cotten. It follows a schoolteacher from San Francisco who relocates to a small town in northern California to spend the summer in a house she inherited from her deceased aunt, only to uncover her aunt's past as a devil worshipper, which seems to trigger a series of supernatural occurrences.",-David Gautreaux-Donald Hotton-Joseph Cotten-Trish Van Devere,The Hearse,1980 films-1980 horror films-1980 independent films-1980s psychological thriller films-American films-American haunted house films-American independent films-American supernatural horror films-American supernatural thriller films-Crown International Pictures films-English-language films-Films about Satanism-Films about automobiles-Films about inheritances-Films about witchcraft,na,George Bowers (filmmaker),na,George Bowers (filmmaker),English
43,La Nuit des Traquées,27906904,"La Nuit des Traquées (English: The Night of the Hunted) is a 1980 film directed by Jean Rollin, about people who have lost their memories in an environmental accident and are confined in a hospital.",Bernard Papineau-Christiane Farina-Cyril Val-Dominique Journet-Dominique Saint-Cyr-Grégoire Cherlian-Jacques Gatteau-Jean Cherlian-Jean Hérel-Rachel Mhas-Vincent Gardère-Brigitte Lahaie-Catherine Greiner-Nathalie Perrey-Élodie Delage,La Nuit des Traquées,1980 films-1980 horror films-Films directed by Jean Rollin-French films-French horror films,na,Jean Rollin,na,Jean Rollin,http://dbpedia.org/resource/French_language
44,Monster (1980 film),36552554,"Monstroid is a 1980 American monster movie produced and directed by Kenneth Herts (as Kenneth Hartford), co-written with Herbert L. Strock, and starring James Mitchum and John Carradine. Strock later claimed he co-directed the film uncredited. It was originally to be titled Monster when the film was first announced in 1975, and again in 1977, and suffered numerous cast changes (Keenan Wynn was still billed on some of the early video releases). The film was eventually released in 1980 as Monstroid, and is also known as Monstroid: It Came from the Lake (American DVD box title) and The Toxic Horror (American alternative title). A novelization written by Peter Crowcroft was released concurrently with the film. Hartford had his own children (Glen and Andrea) play the two teenagers in the film.",Anthony Eisley-James Mitchum-John Carradine-Philip Carey,Monster,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American films-American monster movies-American science fiction horror films-English-language films-Films shot in Colombia-Films shot in New Mexico-Giant monster films,na,na,na,na,"English, Spanish"
45,We're Going to Eat You,29524136,"We're Going to Eat You (Chinese: 地獄無門) is a 1980 Hong Kong horror comedy film directed by Tsui Hark. The film is about a secret agent, Agent 999, who is attempting to capture a thief named Rolex. Agent 999's hunt leads him to a village that is inhabited by cannibals. The film was not as big a success in Hong Kong as Tsui's later 1980 film Dangerous Encounters of the First Kind.",Eddy Ko-Kwok Choi Hon-Melvin Wong-Mo-lin Cheung-Norman Chu,We're Going to Eat You,1980 comedy films-1980 films-1980 horror films-1980s comedy horror films-Films about cannibalism-Films directed by Tsui Hark-Hong Kong films-Hong Kong horror films,na,Tsui Hark,1054985.5,Tsui Hark,Cantonese
46,Humanoids from the Deep,3871584,"Humanoids from the Deep (released as Monster in Europe and Japan) is a 1980 American science-fiction monster movie starring Doug McClure, Ann Turkel, and Vic Morrow. Roger Corman served as the film's uncredited executive producer, and his company, New World Pictures, distributed it. Humanoids from the Deep was directed by Barbara Peeters and an uncredited Jimmy T. Murakami.",Ann Turkel-Doug McClure-Lynn Schiller-Vic Morrow,Humanoids from the Deep,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American natural horror films-Films about fish-Films about genetic engineering-Films scored by James Horner-New World Pictures films,na,Jimmy T. Murakami,2500000.0,Jimmy T. Murakami,http://dbpedia.org/resource/English_language
47,Prom Night (1980 film),2497347,"Prom Night is a 1980 Canadian slasher film directed by Paul Lynch, written by William Gray, and starring Jamie Lee Curtis and Leslie Nielsen. The plot follows a group of high school seniors who are targeted at their prom by a masked killer seeking vengeance for the accidental death of a young girl six years earlier. It features supporting performances from Casey Stevens, Eddie Benton, Mary Beth Rubens and Michael Tough.",-Jamie Lee Curtis-Leslie Nielsen,Prom Night,1980 films-1980 horror films-1980 independent films-1980s exploitation films-1980s high school films-1980s slasher films-1980s teen horror films-Abandoned buildings and structures in fiction-Canadian films-Canadian films about revenge-Canadian independent films-Canadian slasher films-Canadian teen films-Disco films-Embassy Pictures films-English-language films-Films about children-Films about mass murder-Films about proms-Films about psychopaths-Films about school violence-Films about twins-Films directed by Paul Lynch-Films scored by Paul Zaza-Films set in 1974-Films set in 1980-Films shot in Toronto-Fratricide in fiction-Prom Night (film series),na,Paul Lynch (director),1.48E7,Paul Lynch (director),http://dbpedia.org/resource/Canadian_English
48,Witches' Brew (film),21753206,"Witches' Brew, also known as Which Witch Is Which?, is a 1980 American comedy horror film co-written and directed by Richard Shorr, and starring Richard Benjamin, Teri Garr, and Lana Turner. It was based (though without any screen credit) on Fritz Leiber Jr.'s horror-fantasy novel Conjure Wife. Herbert L. Strock directed additional sequences for the film.",Lana Turner-Richard Benjamin-Teri Garr,Witches' Brew,1980 comedy films-1980 films-1980 horror films-1980s comedy horror films-American comedy horror films-American films-English-language films-Films about witchcraft-Films based on American novels-United Artists films,na,Herbert L. Strock,na,Herbert L. Strock,English
49,Mother's Day (1980 film),12178589,"Mother's Day is a 1980 American rape and revenge slasher film directed, co-written and produced by Charles Kaufman, brother of Troma Entertainment co-founder Lloyd Kaufman (who acted as an associate producer of the film). The plot focuses on three women on a camping excursion who fall victim to two deranged, murderous young men and their unhinged mother. The film contains elements of the satire, thriller and slasher genres.",-Beatrice Pons-Deborah Luce-Gary Pollard-Michael McCleery-Nancy Hendrickson-Tiana Pierce,Mother's Day,1980 films-1980 horror films-1980s exploitation films-1980s thriller films-American films-American horror thriller films-American independent films-American rape and revenge films-American satirical films-American serial killer films-English-language films-Films originally rejected by the British Board of Film Classification-Films set in 1970-Films set in 1980-Films set in New Jersey-Troma Entertainment films,na,na,na,na,English
50,Terror Train,2554065,"Terror Train is a 1980 Canadian slasher film directed by Roger Spottiswoode in his directorial debut and starring Jamie Lee Curtis, Ben Johnson, and Hart Bochner. Set aboard a moving train on New Year's Eve, the film follows a group of pre-medical school students holding a costume party who are targeted by some killers who steal their costumes after murdering some students to avoid being caught. It features supporting performances from Sandee Currie, Anthony Sherwood, and David Copperfield.",Ben Johnson (actor)-Hart Bochner-Jamie Lee Curtis,Terror Train,1980 directorial debut films-1980 films-1980 horror films-1980s horror thriller films-1980s mystery thriller films-1980s slasher films-1980s teen horror films-20th Century Fox films-American films-American films about revenge-American independent films-American slasher films-Canadian films-Canadian films about revenge-Canadian independent films-Canadian slasher films-Cross-dressing in American films-Films about fraternities and sororities-Films about fratricide and sororicide-Films about magic and magicians-Films about mass murder-Films directed by Roger Spottiswoode-Films scored by John Mills-Cockell-Films set around New Year-Films set on trains-Films shot in Montreal-Films shot in New Hampshire-Holiday horror films-Necrophilia in film,John Alcott,Roger Spottiswoode,8000000.0,Roger Spottiswoode,English
51,Beyond Evil,12202005,Beyond Evil is a 1980 American supernatural horror film directed by Herb Freed and starring John Saxon and Lynda Day George. Its plot follows an architect who suspects his wife is possessed by a former resident of the historic colonial mansion they have just moved into.,-David Opatoshu-Janice Lynde-John Saxon-Lynda Day George-Michael Dante,Beyond Evil,1980 films-1980 horror films-American films-American supernatural horror films-Films shot in Los Angeles-Films shot in the Philippines-Troma Entertainment films,na,na,251461.0,na,English
52,Alien 2: On Earth,42746245,"Alien 2: On Earth, also known as Alien Terror, is a 1980 Italian-American science fiction horror film, written and directed by Ciro Ippolito before the trademark Alien was registered. It was released following the success of the 1979 film Alien as an unofficial sequel, albeit having little connection to the film.",-Belinda Mayne-Benny Aldrich-Claudio Falanga-Don Parkinson-Judy Perrin-Mark Bodin-Michele Soavi-Roberto Barrese,Alien 2: On Earth,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American films-American monster movies-American science fiction horror films-American splatter films-English-language films-Films about extraterrestrial life-Films scored by Guido & Maurizio De Angelis-Films set in the 1970s-Films set in the United States-Films shot in California-Italian-language films-Italian films-Italian science fiction horror films-Unofficial sequel films,na,Ciro Ippolito,na,Ciro Ippolito,
53,Guest House (1980 film),56929661,"Guest House is a 1980 Indian Hindi-language horror film directed by Shyam Ramsay, Tulsi Ramsay and produced by the Ramsay Brothers. This film was released in 1980 in the banner of Ramsay Productions. The music of the movie was composed by Bappi Lahiri.",Vijayendra Ghatge,Guest House,1980 films-1980 horror films-1980s Hindi-language films-Films scored by Bappi Lahiri-Hindi-language horror films-Indian films-Indian horror films,na,Tulsi Ramsay,na,Tulsi Ramsay,Hindi
54,Cardiac Arrest (film),3254543,"Cardiac Arrest is a 1980 American slasher thriller film written and directed by , and starring Garry Goodrow, Max Gail and Fred Ward.",-Fred Ward-Garry Goodrow-Max Gail-Mike Paul Chan-Ray Reinhardt-Robert Behling-Susan O'Connell,Cardiac Arrest,1980 films-1980 horror films-1980s thriller films-Films about organ trafficking,na,Murray Mintz,na,Murray Mintz,English
55,Phir Wahi Raat,28324016,"Phir Wahi Raat (transl. Same night again) is a 1980 Indian Hindi-language horror film starring Rajesh Khanna as a psychologist doctor opposite Kim, then girlfriend of Danny. The film music and scores composed by R.D. Burman. This is the first and the only film directed by Danny Denzongpa. The film grossed 2 crores and was a commercial hit.",Aruna Irani-Danny Denzongpa-Kim Yashpal-Rajesh Khanna-Shashikala-Suresh Oberoi,Phir Wohi Raat,1980 directorial debut films-1980 films-1980 horror films-1980s Hindi-language films-Films scored by R. D. Burman-Hindi-language films-Hindi-language horror films-Indian films-Indian ghost films-Indian horror films,na,Danny Denzongpa,na,Danny Denzongpa,http://dbpedia.org/resource/Hindi
56,Nightmare City,11437048,"Nightmare City (Italian: Incubo sulla città contaminata: released in the United States as City of the Walking Dead) is a 1980 science-fiction horror film directed by Umberto Lenzi. The film stars Hugo Stiglitz as a television news reporter who witnesses the collapse of order in a city overrun by irradiated blood-drinking ghouls. Victims of the ghouls rise from the dead to join the host, adding to the chaos.",-Laura Trotter-Hugo Stiglitz-Maria Rosaria Omaggio-Mel Ferrer,Nightmare City,1980 films-1980 horror films-1980s science fiction horror films-Apocalyptic films-Films directed by Umberto Lenzi-Films scored by Stelvio Cipriani-Films set in Rome-Films shot in Madrid-Italian films-Italian science fiction horror films-Mexican films-Mexican science fiction horror films-Spanish films-Spanish science fiction horror films,na,Umberto Lenzi,na,Umberto Lenzi,na
57,Eaten Alive!,12706152,Eaten Alive! (Italian: Mangiati vivi!) is a 1980 Italian horror film directed by Umberto Lenzi. The film is about a young woman (Janet Agren) who is searching for her sister after her abduction by a cult in the jungles of New Guinea.,-Fiamma Maglione-Ivan Rassimov-Janet Agren-Me Me Lai-Mel Ferrer-Paola Senatore-Robert Kerman,Eaten Alive!,1980 films-1980 horror films-Cannibal-boom films-Films about missing people-Films directed by Umberto Lenzi-Films produced by Luciano Martino-Italian-language films-Italian films-Italian horror films-Splatter films,na,Umberto Lenzi,na,Umberto Lenzi,na
58,Mondo Cannibale,24245794,"Mondo Cannibale (English: Cannibal World ; also known as The Cannibals, Die Blonde Göttin, White Cannibal Queen, A Woman for the Cannibals and Barbarian Goddess) is a 1980 Spanish-Italian cannibal exploitation film directed by Jesús Franco. It stars a then-17 year old Sabrina Siani and Al Cliver. It is one of two cannibal films directed by Franco starring Cliver, the other being Devil Hunter.",-Olivier Mathot-Pamlea Stanford-Al Cliver-Sabrina Siani,Mondo Cannibale,1980 films-1980 horror films-1980s exploitation films-Cannibal-boom films-Films directed by Jesús Franco-Films scored by Roberto Pregadio-Films shot in Portugal-Italian-language films-Italian erotic horror films-Italian films-Spanish films-Spanish horror films,na,Jesús Franco,na,Jesús Franco,na
59,The Fog,1443093,"The Fog is a 1980 American supernatural horror film directed by John Carpenter, who also co-wrote the screenplay and created the music for the film. It stars Adrienne Barbeau, Jamie Lee Curtis, Tom Atkins, Janet Leigh and Hal Holbrook. It tells the story of a strange, glowing fog that sweeps over a small coastal town in California, bringing with it the vengeful ghosts of mariners who were killed in a shipwreck there 100 years before.",Adrienne Barbeau-Hal Holbrook-Jamie Lee Curtis-Janet Leigh-John Houseman,The Fog,1980 films-1980 horror films-1980 independent films-1980s ghost films-1980s horror thriller films-1980s mystery films-American films-American films about revenge-American ghost films-American independent films-American mystery films-American supernatural horror films-American zombie films-Embassy Pictures films-English-language films-Films directed by John Carpenter-Films produced by Debra Hill-Films scored by John Carpenter-Films set in California-Films shot in California-Films with screenplays by Debra Hill-Films with screenplays by John Carpenter,Dean Cundey,John Carpenter,2.13E7,John Carpenter,English
60,The Watcher in the Woods (1980 film),4187903,"The Watcher in the Woods is a 1980 American supernatural horror film directed by John Hough and Vincent McEveety and starring Bette Davis, Carroll Baker, Lynn-Holly Johnson, Kyle Richards, and David McCallum. Based on the 1976 novel by Florence Engel Randall, the film tells the story of a teenage girl and her little sister who become encompassed in a supernatural mystery regarding a missing girl in the woods surrounding their new home in the English countryside.",-Bette Davis-Carroll Baker-David McCallum-Kyle Richards-Lynn-Holly Johnson,The Watcher in the Woods,1980 films-1980 horror films-1980s ghost films-1980s mystery films-1980s thriller films-American films-American ghost films-American haunted house films-American mystery films-American supernatural horror films-American supernatural thriller films-American thriller films-Films based on American novels-Films based on mystery novels-Films directed by John Hough-Films produced by Ron W. Miller-Films scored by Stanley Myers-Films set in country houses-Films set in forests-Films shot at Pinewood Studios-Mystery horror films-Walt Disney Pictures films,Alan Hume,John Hough (director),5000000.0,John Hough (director),English
61,The Shining (film),1186616,"The Shining is a 1980 psychological horror film produced and directed by Stanley Kubrick and co-written with novelist Diane Johnson. The film is based on Stephen King's 1977 novel of the same name and stars Jack Nicholson, Shelley Duvall, Scatman Crothers, and Danny Lloyd.",-Danny Lloyd-Jack Nicholson-Scatman Crothers-Shelley Duvall,The Shining,1980 films-1980 horror films-1980s ghost films-1980s psychological films-American films-American haunted house films-American psychological horror films-British films-British horror films-British psychological horror films-English-language films-Familicide in fiction-Films about alcoholism-Films about domestic violence-Films about dysfunctional families-Films about telepathy-Films about writers-Films based on American horror novels-Films based on works by Stephen King-Films directed by Stanley Kubrick-Films produced by Stanley Kubrick-Films scored by Wendy Carlos-Films set in Colorado-Films set in hotels-Films shot at Elstree Studios-Films shot at Pinewood Studios-Films shot in California-Films shot in Colorado-Films shot in Hertfordshire-Films shot in Montana-Films shot in Oregon-Films with screenplays by Diane Johnson-Films with screenplays by Stanley Kubrick-The Shining (franchise)-United States National Film Registry films-Warner Bros. films,John Alcott,Stanley Kubrick,4.7E7,Stanley Kubrick,English
62,Maniac (1980 film),2260329,"Maniac is a 1980 American psychological slasher film directed by William Lustig and written by C. A. Rosenberg. It stars Joe Spinell as Frank Zito, an Italian-American serial killer residing in New York City who murders and scalps young women. Spinell was also co-writer of the film. While not prosecuted for obscenity nor officially listed as a video nasty, Maniac was seized by various police forces across Greater Manchester and Lancashire during the video nasty panic, presumably based on the film's notorious reputation overseas.",-Caroline Munro-Joe Spinell,Maniac,1980 films-1980 horror films-1980s psychological horror films-1980s slasher films-1980s thriller films-American exploitation films-American films-American horror thriller films-American independent films-American psychological horror films-American serial killer films-American slasher films-American splatter films-English-language films-Films directed by William Lustig-Films originally rejected by the British Board of Film Classification-Films scored by Jay Chattaway-Films set in New York City-Films shot in New York City-Mannequins in films-Obscenity controversies in film,na,William Lustig,1.0E7,William Lustig,English
63,Alligator (film),4946798,"Alligator is a 1980 satirical horror film directed by Lewis Teague and written by John Sayles. It stars Robert Forster, Robin Riker and Michael V. Gazzo. It also includes an appearance by actress Sue Lyon in her last screen role. Set in Chicago, the film follows a police officer and a reptile expert to track a giant murderous sewer alligator, flushed down the toilet years earlier, that is attacking residents after escaping from the sewers.",Michael V. Gazzo-Robert Forster-Robin Riker,Alligator,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American films-American independent films-American monster movies-American natural horror films-American satirical films-American science fiction horror films-English-language films-Films about crocodilians-Films based on urban legends-Films directed by Lewis Teague-Films set in Chicago-Films shot in Los Angeles-Films with screenplays by John Sayles-Giant monster films,na,Lewis Teague,6459000.0,Lewis Teague,English
64,The Unseen (1980 film),13393790,"The Unseen is a 1980 American horror film directed and written by Danny Steinmann and starring Stephen Furst, Barbara Bach, Sydney Lassick, and Lelia Goldoni.",-Barbara Bach-Karen Lamm-Stephen Furst-Sydney Lassick,The Unseen,1980 films-1980 horror films-1980s slasher films-1980s thriller films-American films-American horror thriller films-American independent films-American slasher films-Child abuse in fiction-English-language films-Films directed by Danny Steinmann-Films shot in California-Incest in film,Roberto A. Quezada,Danny Steinmann,na,Danny Steinmann,English
65,Satan's Slave (1980 film),9762560,"Satan's Slave (Indonesian: Pengabdi Setan) is a 1980 Indonesian horror film directed by Sisworo Gautama Putra. The plot follows a wealthy family who have stopped practicing their Muslim faith and are tormented by the undead after their mother dies. It has achieved cult status among fans of Asian horror films, principally because it has been unavailable for many years, except as an obscure Japanese VHS pressing with no English subtitles. In 2006, Brentwood Home Video, a specialist US label, released an uncut print on DVD for retail release as part of its Eastern Horror series. Among Western fans, it is notable for being one of the few classic horror films to substitute Christian or Buddhist themes for Muslim beliefs. The film bears a resemblance in plot to Don Coscarelli's 1979 film Phantas",Adang Mansyur-Ali Albar-Simon Cader,Pengabdi Setan,1980 films-1980 horror films-Films shot in Indonesia-Indonesian-language films-Indonesian films-Indonesian horror films,na,Sisworo Gautama Putra,na,Sisworo Gautama Putra,Indonesian
66,Patrick Still Lives,43411634,"Patrick Still Lives (Italian: Patrick vive ancora, also known as Patrick Is Still Alive) is a 1980 Italian horror film directed by Mario Landi, and his last film. It is a low-budget unauthorized sequel of the Australian horror Patrick from two years earlier. It is known primarily for its graphic scenes of sex and gore, notably an extremely graphic scene of rape, which ended with the victim disembowelled with a poker. The film was shot in the same house later used as main set in Burial Ground: The Nights of Terror.",Gianni Dei,Patrick Still Lives,1980 films-1980 horror films-1980s exploitation films-Films directed by Mario Landi-Films scored by Berto Pisano-Italian-language films-Italian films-Italian horror thriller films-Italian supernatural horror films-Splatter films-Supernatural thriller films,na,Mario Landi,na,Mario Landi,http://dbpedia.org/resource/Italian_language
67,Hell of the Living Dead,3927646,"Hell of the Living Dead (Italian: Virus - l'inferno dei morti viventi) is a 1980 horror film directed by Bruno Mattei. The film is set in a laboratory in Papua New Guinea that releases a dangerous chemical, turning the technicians and locals into zombies. A French news reporter (Margit Evelyn Newton) and her crew land on the island to investigate.",-Franco Garafalo-José Gras-Selan Karay-Margit Evelyn Newton,Hell of the Living Dead,1980 films-1980 horror films-Apocalyptic films-Films about cannibalism-Films about viral outbreaks-Films about zombies-Films directed by Bruno Mattei-Films scored by Goblin (band)-Films shot in Spain-Italian action horror films-Italian films-Italian horror films-Spanish films-Spanish horror films,na,Bruno Mattei,na,Bruno Mattei,na
68,Zombie Holocaust,12794804,Zombie Holocaust (Italian: Zombi Holocaust) is a 1980 Italian horror film directed by Marino Girolami. The film is about a team of scientists who follow a trail of corpses in New York to a remote indonesian island where they meet a mad doctor (Donald O'Brien) who performs experiments on both the living and dead in his laboratory. The team face both zombies and cannibals in an attempt to stop the doctor. The film was re-edited and released theatrically in the United States in 1982 under the title Doctor Butcher M.D.,-Alexandra Delli Colli-Donald O'Brien-Ian McCulloch-Peter O'Neal-Sherry Buchanan,Zombie Holocaust,1980 films-1980 horror films-Cannibal-boom films-Films about zombies-Films directed by Marino Girolami-Films scored by Nico Fidenco-Films set in Indonesia-Films set in New York City-Italian films-Italian horror films,na,Marino Girolami,na,Marino Girolami,na
69,Humanoids from the Deep,3871584,"Humanoids from the Deep (released as Monster in Europe and Japan) is a 1980 American science-fiction monster movie starring Doug McClure, Ann Turkel, and Vic Morrow. Roger Corman served as the film's uncredited executive producer, and his company, New World Pictures, distributed it. Humanoids from the Deep was directed by Barbara Peeters and an uncredited Jimmy T. Murakami.",Ann Turkel-Doug McClure-Lynn Schiller-Vic Morrow,Humanoids from the Deep,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American exploitation films-American films-American monster movies-American natural horror films-American science fiction horror films-English-language films-Films about fish-Films about genetic engineering-Films about rape-Films scored by James Horner-Films set in California-Films shot in California-New World Pictures films,na,Barbara Peeters,2500000.0,Barbara Peeters,http://dbpedia.org/resource/English_language
70,Fade to Black (1980 film),5836246,"Fade to Black is a 1980 American psychological horror comedy film written and directed by Vernon Zimmerman, and starring Dennis Christopher, Eve Brent and Linda Kerridge. It also features Mickey Rourke and Peter Horton in minor roles. The plot follows a shy and lonely cinephile who embarks on a killing spree against his oppressors while impersonating classic film characters.",-Dennis Christopher-Eve Brent-Gwynne Gilford-James Luisi-Linda Kerridge-Morgan Paull-Norman Burton,Fade to Black,"1980 horror films-1980 independent films-1980s comedy horror films-1980s horror thriller films-1980s mystery thriller films-1980s slasher films-Films shot in Venice, Los Angeles-Mental illness in films",na,Vernon Zimmerman,1.5E7,Vernon Zimmerman,http://dbpedia.org/resource/English_language
71,Funeral Home (1980 film),37481934,"Funeral Home (originally released as Cries in the Night) is a 1980 Canadian slasher film directed by William Fruet and starring Lesleh Donaldson, Kay Hawtrey, Jack Van Evera, Alf Humphreys, and Harvey Atkin. The plot follows a teenager spending the summer at her grandmother's inn—formerly a funeral home—where guests begin to disappear. Originally released in Canada in 1980 under the title Cries in the Night, the film was re-titled for its 1982 U.S. theatrical and home video releases as Funeral Home.",Jack Van Evera-Alf Humphreys-Barry Morse-Harvey Atkin-Kay Hawtrey-Lesleh Donaldson,Funeral Home,1980 films-1980 horror films-1980s psychological horror films-1980s psychological thriller films-1980s slasher films-Canadian films-Canadian independent films-Canadian slasher films-Dissociative identity disorder in films-Films directed by William Fruet-Films scored by Jerry Fielding-Films set in hotels-Films shot in Toronto-Funeral homes in fiction-Mental illness in films-Religious horror films,Mark Irwin,William Fruet,na,William Fruet,http://dbpedia.org/resource/English_language
72,A Praga,18278389,A Praga (English: The Plague) is a 1980 Brazilian horror film directed by José Mojica Marins.,Felipe Von Rhine-Sílvia Gless-Wanda Kosmo,José Mojica Marins,1980 films-1980 horror films-Brazilian films-Brazilian horror films-Films about witchcraft-Films directed by José Mojica Marins-Portuguese-language films,Giuseppe Romero,José Mojica Marins,na,José Mojica Marins,Portuguese
73,Alien 2: On Earth,42746245,"Alien 2: On Earth, also known as Alien Terror, is a 1980 Italian-American science fiction horror film, written and directed by Ciro Ippolito before the trademark Alien was registered. It was released following the success of the 1979 film Alien as an unofficial sequel, albeit having little connection to the film.",-Belinda Mayne-Benny Aldrich-Claudio Falanga-Don Parkinson-Judy Perrin-Mark Bodin-Michele Soavi-Roberto Barrese,Alien 2: On Earth,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American films-American monster movies-American science fiction horror films-American splatter films-English-language films-Films about extraterrestrial life-Films scored by Guido & Maurizio De Angelis-Films set in the 1970s-Films set in the United States-Films shot in California-Italian-language films-Italian films-Italian science fiction horror films-Unofficial sequel films,na,Ciro Ippolito,na,Ciro Ippolito,Italian
74,Scared to Death (1981 film),24486281,Scared to Death (also known as The Aberdeen Experiment and Scared to Death: Syngenor) is a 1980 American science fiction horror film directed by William Malone and starring John Stinson.,John Stinson,Scared to Death,1980 directorial debut films-1980 films-1980 horror films-1980s science fiction horror films-American films-American science fiction horror films-English-language films-Films directed by William Malone,na,William Malone (director),na,William Malone (director),English
75,Ombre (film),61054523,Ombre (transl. Shadows) is a 1980 Italian horror film directed and written by Giorgio Cavedon.,-Laura Belli-Lou Castel-Mita Medici-Monica Guerritore,Ombre,1980 films-1980 horror films-Films shot in Milan-Italian films-Italian horror films,Erico Menczer,Giorgio Cavedon,na,Giorgio Cavedon,na
76,Contamination (film),7223822,"Contamination (a.k.a. Alien Contamination, Toxic Spawn or Larvae) is a 1980 science fiction-horror film directed by Luigi Cozzi and starring Ian McCulloch. The film is about an alien cyclops creature that uses human agents to place eggs all over Earth. The eggs release a gelatinous goo that causes people to explode when they come into physical contact with the substance.The tagline on the Italian one-sheet (...e ora tocca a voi!"") translates as ""...and now it's your turn!"".""",-Gisela Hahn-Ian McCulloch-Louise Marleau-Marino Masé-Siegfried Rauch,Contamination,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-Alien invasions in films-Films about astronauts-Films about extraterrestrial life-Films directed by Luigi Cozzi-Films scored by Goblin (band)-Films set in New York City-Films shot in New Jersey-Films shot in New York City-German science fiction horror films-Golan-Globus films-Italian-language films-Italian films-Italian science fiction horror films-Splatter films-Video nasties-West German films,Giuseppe Pinori,Luigi Cozzi,na,Luigi Cozzi,na
77,He Knows You're Alone,4186478,"He Knows You're Alone is a 1980 American slasher film directed by Armand Mastroianni, written by Scott Parker, and starring Caitlin O'Heaney, Don Scardino, Elizabeth Kemp, Tom Rolfing, and Tom Hanks in his feature film debut. The plot follows a soon-to-be bride who is stalked by a killer the weekend before her wedding. Filmed in Staten Island, New York in 1979, He Knows You're Alone was released theatrically in the fall of 1980 by United Artists, and was a commercial success, grossing nearly $5 million at the U.S. box office.",-Caitlin O'Heaney-Don Scardino-Elizabeth Kemp-Tom Rolfing,He Knows You're Alone,1980 directorial debut films-1980 films-1980 horror films-1980s slasher films-American exploitation films-American films-American serial killer films-American slasher films-English-language films-Films about stalking-Films directed by Armand Mastroianni-Films set in Staten Island-Films shot in New York City-Home invasions in film-Metro-Goldwyn-Mayer films,na,Armand Mastroianni,4900000.0,Armand Mastroianni,English
78,Without Warning (1980 film),17379289,"Without Warning (also known as It Came Without Warning) is a 1980 American horror science fiction film directed by Greydon Clark and starring Jack Palance, Martin Landau, Tarah Nutter, and Kevin Peter Hall. Special effects designer Greg Cannom created the aliens for the low-budget film. The film released on September 26, 1980 and was released on home video for the first time on August 5, 2014 through Shout! Factory's Scream Factory label in a Blu-ray/DVD combo pack.",-Christopher S. Nelson-Jack Palance-Martin Landau-Tarah Nutter,Without Warning,1980 films-1980 horror films-1980s monster movies-1980s science fiction horror films-American films-American monster movies-American science fiction horror films-Films directed by Greydon Clark-Films set in the 1970s,Dean Cundey,Greydon Clark,na,Greydon Clark,English
79,Cannibal Holocaust,513149,"Cannibal Holocaust is a 1980 Italian cannibal film directed by Ruggero Deodato and written by Gianfranco Clerici. It stars Robert Kerman as Harold Monroe, an anthropologist from New York University who leads a rescue team into the Amazon rainforest to locate a crew of filmmakers. Played by Carl Gabriel Yorke, Francesca Ciardi, Perry Pirkanen, and Luca Barbareschi, the crew had gone missing while filming a documentary on local cannibal tribes. When the rescue team is only able to recover the crew's lost cans of film, an American television station wishes to broadcast the footage as a sensationalized television special. Upon viewing the reels, Monroe is appalled by the team's actions and objects to the station's intent to air the documentary.",-Carl Gabriel Yorke-Francesca Ciardi-Luca Barbareschi-Perry Pirkanen-Robert Kerman,Cannibal Holocaust,Adventure film controversies-Censored films,na,Ruggero Deodato,na,Ruggero Deodato,English
80,Christmas Evil,8463784,"Christmas Evil (originally titled You Better Watch Out, also known as Terror in Toyland) is a 1980 American psychological thriller horror film written and directed by Lewis Jackson and starring Brandon Maggart. The plot follows a deranged man obsessed with Santa Claus who eventually goes on a murderous rampage dressed in a Santa Claus suit. Since its release, it has gained a cult following, including praise and repeated viewings by director John Waters.",Andy Fenwick-Brandon Maggart-Dianne Hull-Jeffrey DeMunn,Christmas Evil,1980 films-1980 horror films-1980 independent films-1980s Christmas films-1980s psychological horror films-1980s slasher films-American Christmas films-American Christmas horror films-American films-American independent films-American psychological horror films-American slasher films-Films set in 1947-Films set in 1980-Films set in New Jersey-Films shot in New Jersey-Films shot in Pennsylvania-Horror drama films-Psychological thriller films-Santa Claus in film-Troma Entertainment films-Video nasties,Ricardo Aronovich,na,na,na,English
